Freelancer_ID,Job_Category,Platform,Experience_Level,Client_Region,Payment_Method,Job_Completed,Earnings_USD,Hourly_Rate,Job_Success_Rate,Client_Rating,Job_Duration_Days,Project_Type,Rehire_Rate,Marketing_Spend,Earnings_per_Project,Is_Expert,Region_Short,Job_Range_Label,Hourly_Band,High_Earner,Client_Tier
1,Web Development,Fiverr,Beginner,Asia,Mobile Banking,180,1620,95.79,68.73,3.18,1,Fixed,40.19,53,9.0,False,Other,100+,30$+,False,Mid
2,App Development,Fiverr,Beginner,Australia,Mobile Banking,218,9078,86.38,97.54,3.44,54,Fixed,36.53,486,41.642201834862384,False,Other,100+,30$+,True,Mid
3,Web Development,Fiverr,Beginner,UK,Crypto,27,3455,85.17,86.6,4.2,46,Hourly,74.05,489,127.96296296296296,False,Other,10–99,30$+,False,Mid
4,Data Entry,PeoplePerHour,Intermediate,Asia,Bank Transfer,17,5577,14.37,79.93,4.47,41,Hourly,27.58,67,328.05882352941177,False,Other,10–99,10$–30$,False,Mid
5,Digital Marketing,Upwork,Expert,Asia,Crypto,245,5898,99.37,57.8,5.0,41,Hourly,69.09,489,24.073469387755104,True,Other,100+,30$+,False,High
6,Customer Support,Toptal,Beginner,Europe,Crypto,280,6867,43.04,57.8,4.87,8,Fixed,43.88,290,24.525,False,Other,100+,30$+,False,High
7,Web Development,Fiverr,Beginner,USA,Crypto,96,1677,20.5,52.9,4.29,32,Hourly,45.99,343,17.46875,False,Other,10–99,10$–30$,False,Mid
8,Data Entry,Toptal,Beginner,Australia,Bank Transfer,112,6193,82.15,93.31,3.84,30,Fixed,31.59,168,55.294642857142854,False,Other,100+,30$+,False,Mid
9,Content Writing,Toptal,Intermediate,USA,Crypto,233,8446,26.44,80.06,4.27,46,Fixed,50.11,396,36.24892703862661,False,Other,100+,10$–30$,True,Mid
10,Data Entry,PeoplePerHour,Beginner,Middle East,Mobile Banking,156,6608,54.99,85.4,4.57,52,Hourly,32.76,160,42.35897435897436,False,Other,100+,30$+,False,High
11,App Development,Fiverr,Beginner,Australia,Crypto,112,5322,17.16,51.03,3.24,89,Fixed,12.75,14,47.517857142857146,False,Other,100+,10$–30$,False,Mid
12,Customer Support,Toptal,Intermediate,Australia,Mobile Banking,293,7931,50.09,98.5,3.82,61,Fixed,29.04,190,27.068259385665527,False,Other,100+,30$+,True,Mid
13,Customer Support,Fiverr,Intermediate,Europe,Mobile Banking,180,9033,58.02,91.62,4.68,13,Fixed,10.45,14,50.18333333333333,False,Other,100+,30$+,True,High
14,Data Entry,Freelancer,Beginner,Canada,Bank Transfer,290,3797,47.36,60.62,3.77,89,Hourly,78.48,286,13.093103448275862,False,North America,100+,30$+,False,Mid
